# INTPOS INTNEG X0 Y BIOMASS BIOMASSPVALUE NBSPECIES NBSPECIESPVALUE
1 0 0.2227 10 9.421262 0.262 14 0 
1 1 0.2227 10 131.1519 0.022 9 0.002 
1 0.2 0.15 10 11.08452 0.048 13 0.082 
1 0.2 0.15 11 11.18005 0.054 13 0.1 
1 0.2 0.15 13 11.26709 0.058 13 0.142 
1 0.2 0.15 14 11.27385 0.068 13 0.176 
1 0.2 0.15 5 9.31183 0.092 12 0.008 
1 0.2 0.15 7 10.41791 0.036 13 0.018 
1 0.2 0.15 9 10.9393 0.044 13 0.062 
1 0.2 0.1 10 13.85937 0.074 12 0.002 
1 0.2 0.1 11 14.16475 0.07 12 0.002 
1 0.2 0.1 13 14.6418 0.054 12 0.002 
1 0.2 0.1 14 14.82716 0.044 12 0.002 
1 0.2 0.1 5 11.10864 0.182 12 0 
1 0.2 0.1 7 12.53992 0.102 12 0 
1 0.2 0.1 9 13.4968 0.08 12 0.002 
1 0.2 0.2227 10 8.26158 0.028 14 0 
1 0.2 0.2227 11 8.268073 0.026 14 0 
1 0.2 0.2227 13 8.224782 0.024 14 0 
1 0.2 0.2227 14 8.184054 0.024 14 0 
1 0.2 0.2227 5 7.352905 0.122 10 0.112 
1 0.2 0.2227 7 8.004751 0.04 14 0 
1 0.2 0.2227 9 8.225882 0.034 14 0 
1 0.2 0.3 10 6.27729 0.068 13 0.072 
1 0.2 0.3 11 6.244859 0.06 13 0.174 
1 0.2 0.3 13 6.159367 0.038 14 0 
1 0.2 0.3 14 6.106335 0.032 14 0 
1 0.2 0.3 5 5.969112 0.446 10 0.008 
1 0.2 0.3 7 6.233963 0.16 11 0.336 
1 0.2 0.3 9 6.298242 0.08 12 0.364 
1 0.2 0.4 10 4.707685 0.25 11 0.308 
1 0.2 0.4 11 4.657757 0.2 11 0.382 
1 0.2 0.4 13 4.559677 0.126 11 0.458 
1 0.2 0.4 14 4.511627 0.12 11 0.492 
1 0.2 0.4 5 4.868215 0.76 8 0.324 
1 0.2 0.4 7 4.872912 0.412 11 0.1 
1 0.2 0.4 9 4.758768 0.294 11 0.236 
1 0.2 0.5 10 3.888561 0.318 11 0.076 
1 0.2 0.5 11 3.812319 0.31 11 0.128 
1 0.2 0.5 13 3.682117 0.262 11 0.236 
1 0.2 0.5 14 3.625273 0.23 11 0.276 
1 0.2 0.5 5 4.268543 0.922 7 0.722 
1 0.2 0.5 7 4.092374 0.86 9 0.202 
1 0.2 0.5 9 3.944305 0.464 10 0.374 
